code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""Psychotropic""	""group""	""database""",
"""479841000033112""",UNKNOWN,true,"""Dolmatil 400mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Sulpiride""	""400.000mg""	""Sulpiride""	""Antipsychotics""	""Aurum""",
"""480941000033116""",UNKNOWN,true,"""Dolmatil 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Sulpiride""	""200.000mg""	""Sulpiride""	""Antipsychotics""	""Aurum""",
"""483141000033112""",UNKNOWN,true,"""Droperidol  Injection  5mg/ml""	""Solution for injection""	""Intramuscular""	""Droperidol""	NA	""Droperidol""	""Antipsychotics""	""Aurum""",
"""483341000033110""",UNKNOWN,true,"""Droleptan  Injection  5mg/ml""	""Solution for injection""	""Intramuscular""	""Droperidol""	NA	""Droperidol""	""Antipsychotics""	""Aurum""",
"""483541000033115""",UNKNOWN,true,"""Droperidol  Liquid  1mg/ml""	NA	NA	""Droperidol""	NA	""Droperidol""	""Antipsychotics""	""Aurum""",
"""483641000033119""",UNKNOWN,true,"""Droleptan  Liquid  1mg/ml""	NA	NA	""Droperidol""	NA	""Droperidol""	""Antipsychotics""	""Aurum""",
"""484641000033117""",UNKNOWN,true,"""Droleptan  Tablets  10 mg""	""Tablet""	""Oral""	""Droperidol""	NA	""Droperidol""	""Antipsychotics""	""Aurum""",
"""485041000033112""",UNKNOWN,true,"""Droperidol  Tablets  10 mg""	""Tablet""	""Oral""	""Droperidol""	NA	""Droperidol""	""Antipsychotics""	""Aurum""",
"""489741000033113""",UNKNOWN,true,"""Dutonin 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Nefazodone""	""100.000mg""	""Nefazodone""	""Antidepressants""	""Aurum""",
"""489841000033115""",UNKNOWN,true,"""Dutonin 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Nefazodone""	""200.000mg""	""Nefazodone""	""Antidepressants""	""Aurum""",
