code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""Term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""Release""	""EmisCodeCategoryId""	""AD""",
"""1113411000006115""",UNKNOWN,true,"1	""ALLERGY2987""	""""	""adverse reaction to limbitrol 10""	1113411000006104	1113411000006115	NA	5	1",
"""1113621000006114""",UNKNOWN,true,"100	""ALLERGY4005""	""""	""adverse reaction to triptafen""	1113621000006105	1113621000006114	NA	5	1",
"""1113631000006112""",UNKNOWN,true,"20	""ALLERGY4006""	""""	""adverse reaction to triptafen-m""	1113631000006108	1113631000006112	NA	5	1",
"""1113711000006114""",UNKNOWN,true,"100	""ALLERGY4012""	""""	""adverse reaction to tryptizol""	1113711000006105	1113711000006114	NA	5	1",
"""1115931000006117""",UNKNOWN,true,"3000	""ALLERGY4207EGTON""	""""	""adverse reaction to prozac""	1115931000006101	1115931000006117	NA	5	1",
"""1115961000006114""",UNKNOWN,true,"20000	""ALLERGY4208EGTON""	""""	""adverse reaction to fluoxetine hydrochloride""	1115961000006105	1115961000006114	NA	5	1",
"""1116541000006110""",UNKNOWN,true,"7000	""ALLERGY18737NEMIS""	""""	""adverse reaction to duloxetine""	1116541000006106	1116541000006110	NA	5	1",
"""1133051000006118""",UNKNOWN,true,"3000	""ALLERGY13086NEMIS""	""""	""adverse reaction to escitalopram""	1133051000006102	1133051000006118	NA	5	1",
"""1134991000006113""",UNKNOWN,true,"20000	""ALLERGY1700NEMIS""	""""	""adverse reaction to citalopram hydrochloride""	1134991000006109	1134991000006113	NA	5	1",
"""1166201000000117""",UNKNOWN,true,"1000	""665A0""	""665A000""	""antidepressant drug treatment stopped""	698459008	2974536011	NA	1	1",
"""1578641000006110""",UNKNOWN,true,"1	""ALLERGY23695NEMIS""	""""	""adverse reaction to sinepin""	1578641000006106	1578641000006110	NA	5	1",
"""1658881000006111""",UNKNOWN,true,"7000	""U609A""	""U609A00""	""fluoxetine adverse reaction""	292307003	432440011	NA	5	1",
"""1660291000006118""",UNKNOWN,true,"20000	""U609B""	""U609B00""	""sertraline adverse reaction""	292303004	432436019	NA	5	1",
"""1664711000006112""",UNKNOWN,true,"3	""ALLERGY29841NEMIS""	""""	""adverse reaction to prozep""	1664711000006108	1664711000006112	NA	5	1",
"""1694841000006119""",UNKNOWN,true,"9	""ALLERGY31751NEMIS""	""""	""adverse reaction to 5-hydroxytryptophan (5-htp)""	1694841000006103	1694841000006119	NA	5	1",
"""1697131000006110""",UNKNOWN,true,"8	""ALLERGY33581NEMIS""	""""	""adverse reaction to viepax xl""	1697131000006106	1697131000006110	NA	5	1",
"""1698341000006115""",UNKNOWN,true,"10	""ALLERGY34420NEMIS""	""""	""adverse reaction to viepax""	1698341000006104	1698341000006115	NA	5	1",
"""1698451000006113""",UNKNOWN,true,"60	""ALLERGY34458NEMIS""	""""	""adverse reaction to vensir xl""	1698451000006109	1698451000006113	NA	5	1",
"""1699341000006112""",UNKNOWN,true,"20	""ALLERGY34934NEMIS""	""""	""adverse reaction to venaxx xl""	1699341000006108	1699341000006112	NA	5	1",
"""1708251000006117""",UNKNOWN,true,"50	""ALLERGY36505NEMIS""	""""	""adverse reaction to agomelatine""	1708251000006101	1708251000006117	NA	5	1",
"""1708391000006117""",UNKNOWN,true,"60	""ALLERGY36233NEMIS""	""""	""adverse reaction to venlalic xl""	1708391000006101	1708391000006117	NA	5	1",
"""1708611000006115""",UNKNOWN,true,"10	""ALLERGY36503NEMIS""	""""	""adverse reaction to agomelatine""	1708611000006104	1708611000006115	NA	5	1",
"""1708621000006111""",UNKNOWN,true,"9	""ALLERGY36506NEMIS""	""""	""adverse reaction to valdoxan""	1708621000006107	1708621000006111	NA	5	1",
