code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Lipid regulating meds""",
"""56016""",UNKNOWN,true,"711	""Lipitor 20mg chewable tablets (Viatris UK Healthcare Ltd)""	""Atorvastatin""	""20mg""	""Chewable tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""62132""",UNKNOWN,true,"4	""Lipobay 400microgram tablets (Bayer Plc)""	""Cerivastatin""	""400microgram""	""Oral tablet""	""Oral""	""Unknown""	""Cerivastatin""",
"""58394""",UNKNOWN,true,"4	""Atorvastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd)""	""Atorvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""1716""",UNKNOWN,true,"78395	""Questran 4g oral powder sachets (Neon Healthcare Ltd)""	""Colestyramine""	""4gram""	""Powder for oral suspension""	""Oral""	""Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products""	""Colestyramine""",
"""64180""",UNKNOWN,true,"3	""Simvastatin 10mg tablets (Crescent Pharma Ltd)""	""Simvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""51085""",UNKNOWN,true,"3	""Simvastatin 10mg tablets (Medreich Plc)""	""Simvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""8082""",UNKNOWN,true,"44826	""Gemfibrozil 600mg tablets""	""Gemfibrozil""	""600mg""	""Oral tablet""	""Oral""	""Fibrates""	""Gemfibrozil""",
"""1217""",UNKNOWN,true,"18933	""Lipantil micro 200 200mg Capsule (Fournier Pharmaceuticals Ltd)""	""Fenofibrate""	""200mg""	""Oral capsule""	""Oral""	""Fibrates""	""Fenofibrate""",
"""17813""",UNKNOWN,true,"932	""Nicotinic acid 100mg Tablet""	""Nicotinic acid""	""100mg""	""Tablet""	""Oral""	""Nicotinic Acid Group""	""Nicotinic acid""",
"""16186""",UNKNOWN,true,"3139	""Inegy 10mg/80mg tablets (Organon Pharma (UK) Ltd)""	""Ezetimibe/Simvastatin""	""80mg + 10mg""	""Oral tablet""	""Oral""	""Ezetimibe/Statins""	""Ezetimibe/Simvastatin""",
"""44528""",UNKNOWN,true,"10	""Simvastatin 20mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)""	""Simvastatin""	""4mg/1ml""	""Oral suspension""	""Oral""	""Statins""	""Simvastatin""",
