code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""CleansedReadCode""	""Term""	""cat""",
"""616731000006114""",UNKNOWN,true,"""9OL4.00""	""diabetes monitoring 1st letter""	""Unknown""",
"""616741000006116""",UNKNOWN,true,"""9OL5.00""	""diabetes monitoring 2nd letter""	""Unknown""",
"""616751000006119""",UNKNOWN,true,"""9OL6.00""	""diabetes monitoring 3rd letter""	""Unknown""",
"""616711000006115""",UNKNOWN,true,"""9OL7.00""	""diabetes monitor.verbal invite""	""Unknown""",
"""616701000006118""",UNKNOWN,true,"""9OL8.00""	""diabetes monitor.phone invite""	""Unknown""",
"""616691000006118""",UNKNOWN,true,"""9OLA.00""	""diabetes monitor. check done""	""Unknown""",
"""405057014""",UNKNOWN,true,"""9OLA.11""	""diabetes monitored""	""Unknown""",
"""2533102013""",UNKNOWN,true,"""9OLB.00""	""attended diabetes structured education programme""	""Unknown""",
"""2549901010""",UNKNOWN,true,"""9OLD.00""	""diabetic patient unsuitable for digital retinal photography""	""Unknown""",
"""532331000000119""",UNKNOWN,true,"""9OLF.00""	""diabetes structured education programme completed""	""Unknown""",
"""546001000000113""",UNKNOWN,true,"""9OLG.00""	""attended xpert diabetes structured education programme""	""Type 2""",
"""546071000000117""",UNKNOWN,true,"""9OLH.00""	""attended dafne diabetes structured education programme""	""Type 1""",
"""546151000000110""",UNKNOWN,true,"""9OLJ.00""	""dafne diabetes structured education programme completed""	""Type 1""",
"""546221000000114""",UNKNOWN,true,"""9OLK.00""	""desmond diabetes structured education programme completed""	""Type 2""",
"""546291000000112""",UNKNOWN,true,"""9OLL.00""	""xpert diabetes structured education programme completed""	""Type 2""",
"""546471000000114""",UNKNOWN,true,"""9OLM.00""	""diabetes structured education programme declined""	""Unknown""",
"""1755441000006119""",UNKNOWN,true,"""9OLN.00""	""diabetes monitor invitation by sms (short message service)""	""Unknown""",
"""16171000000110""",UNKNOWN,true,"""9OLZ.00""	""diabetes monitoring admin.nos""	""Unknown""",
"""2227781000000112""",UNKNOWN,true,"""9Oy0000""	""diabetic foot screening invitation""	""Unknown""",
"""2227861000000112""",UNKNOWN,true,"""9Oy0200""	""diabetic foot screening invitation first letter""	""Unknown""",
"""2227981000000110""",UNKNOWN,true,"""9Oy0300""	""diabetic foot screening invitation second letter""	""Unknown""",
"""2230301000000116""",UNKNOWN,true,"""9Oy0400""	""diabetic foot screening invitation third letter""	""Unknown""",
"""121589010""",UNKNOWN,true,"""C10..00""	""diabetes mellitus""	""Unknown""",
"""292466013""",UNKNOWN,true,"""C100.00""	""diabetes mellitus with no mention of complication""	""Unknown""",
"""616621000006115""",UNKNOWN,true,"""C100000""	""diabetes mellitus, juvenile type, no mention of complication""	""Type 1""",
"""772161000006119""",UNKNOWN,true,"""C100011""	""insulin dependent diabetes mellitus""	""Type 1""",
"""616511000006110""",UNKNOWN,true,"""C100100""	""diabetes mellitus, adult onset, no mention of complication""	""Type 2""",
"""223291000000111""",UNKNOWN,true,"""C100111""	""maturity onset diabetes""	""Other""",
"""73466011""",UNKNOWN,true,"""C100112""	""non-insulin dependent diabetes mellitus""	""Type 2""",
"""292475010""",UNKNOWN,true,"""C100z00""	""diabetes mellitus nos with no mention of complication""	""Unknown""",
"""2622193012""",UNKNOWN,true,"""C101.00""	""diabetes mellitus with ketoacidosis""	""Unknown""",
"""616641000006110""",UNKNOWN,true,"""C101000""	""diabetes mellitus, juvenile type, with ketoacidosis""	""Type 1""",
"""616531000006116""",UNKNOWN,true,"""C101100""	""diabetes mellitus, adult onset, with ketoacidosis""	""Type 2""",
"""292478012""",UNKNOWN,true,"""C101y00""	""other specified diabetes mellitus with ketoacidosis""	""Other""",
"""292479016""",UNKNOWN,true,"""C101z00""	""diabetes mellitus nos with ketoacidosis""	""Unknown""",
"""292480018""",UNKNOWN,true,"""C102.00""	""diabetes mellitus with hyperosmolar coma""	""Unknown""",
"""292482014""",UNKNOWN,true,"""C102000""	""diabetes mellitus, juvenile type, with hyperosmolar coma""	""Type 1""",
"""292483016""",UNKNOWN,true,"""C102100""	""diabetes mellitus, adult onset, with hyperosmolar coma""	""Type 2""",
"""292484010""",UNKNOWN,true,"""C102z00""	""diabetes mellitus nos with hyperosmolar coma""	""Unknown""",
"""616381000006111""",UNKNOWN,true,"""C103.00""	""diabetes mellitus with ketoacidotic coma""	""Unknown""",
"""616651000006112""",UNKNOWN,true,"""C103000""	""diabetes mellitus, juvenile type, with ketoacidotic coma""	""Type 1""",
"""616541000006114""",UNKNOWN,true,"""C103100""	""diabetes mellitus, adult onset, with ketoacidotic coma""	""Type 2""",
"""292488013""",UNKNOWN,true,"""C103y00""	""other specified diabetes mellitus with coma""	""Other""",
"""292489017""",UNKNOWN,true,"""C103z00""	""diabetes mellitus nos with ketoacidotic coma""	""Unknown""",
"""616461000006112""",UNKNOWN,true,"""C104.00""	""diabetes mellitus with renal manifestation""	""Unknown""",
"""205225016""",UNKNOWN,true,"""C104.11""	""diabetic nephropathy""	""Unknown""",
"""616661000006114""",UNKNOWN,true,"""C104000""	""diabetes mellitus, juvenile type, with renal manifestation""	""Type 1""",
