code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""dmdcode""	""gemscriptcode""	""productname""	""drugsubstance""	""strength""	""formulation""	""route""	""bnfcode""	""bnfchapter""	""Statin""",
"""37434""",UNKNOWN,true,"4580311000001109	""66208020""	""Simvastatin 40mg tablets (Sandoz Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""39060""",UNKNOWN,true,"11551511000001108	""66656020""	""Simvastatin 20mg tablets (Dexcel-Pharma Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""39652""",UNKNOWN,true,"256505001000027104	""96566020""	""Simvastatin 40mg/5ml oral solution sugar free""	""Simvastatin""	""40mg/5ml""	""Oral Suspension Sugar-free""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""39675""",UNKNOWN,true,"183305001000027104	""72886020""	""Simvastatin 20mg/5ml Oral suspension (Martindale Pharmaceuticals Ltd)""	""Simvastatin""	""20mg/5ml""	""Oral Suspension""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""39870""",UNKNOWN,true,"15158611000001106	""96704020""	""Simvador 80mg tablets (Discovery Pharmaceuticals)""	""Simvastatin""	""80mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""40340""",UNKNOWN,true,"4380611000001102	""65874020""	""Simvastatin 10mg tablets (Teva UK Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""40382""",UNKNOWN,true,"7976911000001100	""68201020""	""Pravastatin 20mg tablets (A A H Pharmaceuticals Ltd)""	""Pravastatin sodium""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
"""40601""",UNKNOWN,true,"4465311000001105	""69804020""	""Simvastatin 20mg tablets (Ranbaxy (UK) Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""41657""",UNKNOWN,true,"5476111000001102	""66993020""	""Simvastatin 80mg tablets (Teva UK Ltd)""	""Simvastatin""	""80mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""43218""",UNKNOWN,true,"7943211000001101	""68272020""	""Pravastatin 10mg tablets (Teva UK Ltd)""	""Pravastatin sodium""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
"""44528""",UNKNOWN,true,"17305411000001100	""77364020""	""Simvastatin 20mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)""	""Simvastatin""	""4mg/1ml""	""Oral suspension""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""44650""",UNKNOWN,true,"11551711000001102	""66659020""	""Simvastatin 40mg tablets (Dexcel-Pharma Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""44878""",UNKNOWN,true,"7630211000001106	""88014020""	""Ranzolont 10mg tablets (Ranbaxy (UK) Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""45219""",UNKNOWN,true,"4467311000001102	""65967020""	""Simvastatin 40mg tablets (Kent Pharmaceuticals Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""45235""",UNKNOWN,true,"4580111000001107	""66205020""	""Simvastatin 20mg tablets (Sandoz Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""45245""",UNKNOWN,true,"4437011000001105	""65935020""	""Simvastatin 20mg tablets (Actavis UK Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""45346""",UNKNOWN,true,"10414211000001100	""66066020""	""Simvastatin 40mg tablets (Arrow Generics Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""46878""",UNKNOWN,true,"9804311000001100	""71629020""	""Simvastatin 40mg tablets (Almus Pharmaceuticals Ltd)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""46956""",UNKNOWN,true,"10414411000001102	""66069020""	""Simvastatin 80mg tablets (Arrow Generics Ltd)""	""Simvastatin""	""80mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
