code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""SH""	""Group""",
"""65497""",UNKNOWN,true,"""U4C..00""	""[x]falling lying running befor/into moving obj undet intent""	1	""unknown intent""",
"""65732""",UNKNOWN,true,"""TN21.00""	""injury ?accidental, poisoning by other carbon monoxide""	1	""unknown intent""",
"""65955""",UNKNOWN,true,"""U201.00""	""[x]intent self poison/exposure to antiepileptic""	1	""self harm""",
"""66063""",UNKNOWN,true,"""TKxy.00""	""suicide and selfinflicted injury by other specified means""	1	""self harm""",
"""66109""",UNKNOWN,true,"""TK01000""	""suicide and self inflicted injury by amylobarbitone""	1	""self harm""",
"""66117""",UNKNOWN,true,"""U201z00""	""[x]intent self poison antiepileptic unspecif place""	1	""self harm""",
"""66118""",UNKNOWN,true,"""U204z00""	""[x]intent self poison psychotropic drug unspecif place""	1	""self harm""",
"""66371""",UNKNOWN,true,"""TN70.00""	""injury ?accidental, fall from residential premises""	1	""unknown intent""",
"""66621""",UNKNOWN,true,"""TK0z.00""	""suicide + selfinflicted poisoning by solid/liquid subst nos""	1	""self harm""",
"""66634""",UNKNOWN,true,"""U207z00""	""[x]intent self poison oth autonomic drug unspecif place""	1	""self harm""",
"""66788""",UNKNOWN,true,"""U402.00""	""[x]poisoning/exposure, ? intent, to sedative hypnotic""	1	""unknown intent""",
"""66889""",UNKNOWN,true,"""U40B.00""	""[x]poisoning/exposure, ? intent, to other gas/vapour""	1	""unknown intent""",
"""66915""",UNKNOWN,true,"""TK5..00""	""suicide and selfinflicted injury by firearms and explosives""	1	""self harm""",
"""66961""",UNKNOWN,true,"""TN20.00""	""injury ?accidental, poisoning by motor vehicle exhaust gas""	1	""unknown intent""",
"""67092""",UNKNOWN,true,"""U4A3.00""	""[x]contct wth blunt obj undet intent occ sport/athletic area""	1	""unknown intent""",
"""67303""",UNKNOWN,true,"""U4y..00""	""[x]other specified events, undetermined intent""	1	""unknown intent""",
"""67400""",UNKNOWN,true,"""U280.00""	""[x]intent self harm by steam hot vapour/hot obj occ at home""	1	""self harm""",
"""67409""",UNKNOWN,true,"""U2y0.00""	""[x]intentionl self harm by oth specif means occurrn at home""	1	""self harm""",
"""67586""",UNKNOWN,true,"""U241.00""	""[x]int self harm rifl s'gun/lrg frarm disch occ resid instit""	1	""self harm""",
"""67717""",UNKNOWN,true,"""U406y00""	""[x]pois/exp ?intent to hallucinogen other spec place""	1	""unknown intent""",
"""67874""",UNKNOWN,true,"""U4D3.00""	""[x]crash of motor vehicle undeterm intent sport/athlet area""	1	""unknown intent""",
"""67956""",UNKNOWN,true,"""U20C.12""	""[x]self poisoning with paraquat""	1	""self harm""",
"""67988""",UNKNOWN,true,"""TN05.00""	""injury ?accidental, poisoning by drug or medicament nos""	1	""unknown intent""",
