"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antiplatelets"
"57036"	18	"Clopidogrel 75mg tablets (Viatris UK Healthcare Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"23841"	0	"Safapryn Tablet (Pfizer Ltd)"	"Aspirin"	NA	"Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"53751"	166	"Clopidogrel 75mg tablets (Phoenix Healthcare Distribution Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"33676"	34	"Aspirin 75mg dispersible tablets (Kent Pharma (UK) Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"77623"	21	"Caprin 324mg Modified-release tablet (Pinewood Healthcare)"	"Aspirin"	"324mg"	"Modified-Release Tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"17449"	10	"Ticlid 250mg tablets (Sanofi-Synthelabo Ltd)"	"Ticlopidine"	"250mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Ticlopidine"
"8185"	1859	"Disprin CV 300mg modified-release tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg"	"Modified-release tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"49799"	0	"Aspirin 150mg suppositories (A A H Pharmaceuticals Ltd)"	"Aspirin"	"150mg"	"Suppository"	"Rectal"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"67037"	53	"Clopidogrel 75mg tablets (Zentiva Pharma UK Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"71192"	1	"Aspirin 75mg tablets (Kent Pharma (UK) Ltd)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"67858"	1	"Aspirin 25mg capsules"	"Aspirin"	"25mg"	"Oral capsule"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"78623"	0	"Aspirin 300mg tablets (Mawdsley-Brooks & Company Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"1137"	179633	"Nu-seals aspirin ec 300mg Gastro-resistant tablet (Eli Lilly and Company Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"59021"	0	"Aspirin 75mg gastro-resistant tablets (Bristol Laboratories Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"21932"	5	"ETHOHEPTALINE CITRATE/ASPIRIN MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
