"medcode"	"Term"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"32088"	"[X]Other manic episodes"	"Eu30y"	"Eu30y00"	"bipolar"	69	0	0	0	"February 2009"
"104763"	"[X]Cyclic schizophrenia"	"Eu252-1"	"Eu25211"	"schizophrenia"	3	0	0	0	"August 2012"
"53032"	"Acute exacerbation of chronic paranoid schizophrenia"	"E1034"	"E103400"	"schizophrenia"	159	0	0	0	"February 2009"
"46425"	"Recurrent manic episodes, mild"	"E1111"	"E111100"	"bipolar"	25	0	0	0	"February 2009"
"52523"	"O/E - delusion of persecution"	"225F"	"225F.00"	"other psychosis"	64	0	4	0	"February 2009"
"54607"	"Unspecified affective psychoses NOS"	"E11z0"	"E11z000"	"other psychosis"	154	0	1	0	"February 2009"
"31633"	"[X]Affective psychosis NOS"	NA	"Eu3z.11"	"other psychosis"	289	0	6	0	"February 2009"
"19967"	"Recurrent manic episodes, unspecified"	"E1110"	"E111000"	"bipolar"	317	0	18	0	"February 2009"
"14784"	"Unspecified bipolar affective disorder"	"E117"	"E117.00"	"bipolar"	7387	0	566	0	"February 2009"
"55829"	"Bipolar affect disord, currently manic,severe with psychosis"	"E1144"	"E114400"	"bipolar"	72	0	1	0	"February 2009"
"64264"	"[X]Residual schizophrenia"	"Eu205"	"Eu20500"	"schizophrenia"	39	0	0	0	"February 2009"
"22713"	"Manic mood"	"1S42"	"1S42.00"	"bipolar"	691	0	61	0	"February 2009"
"25019"	"[X]Acute and transient psychotic disorders"	"Eu23"	"Eu23.00"	"other psychosis"	2482	0	35	0	"February 2009"
"23713"	"[X]Bipol aff disord, curr epis sev depress, no psychot symp"	"Eu314"	"Eu31400"	"bipolar"	157	0	9	0	"February 2009"
"17385"	"Manic-depressive - now manic"	"E114-1"	"E114.11"	"bipolar"	689	0	53	0	"February 2009"
"22188"	"Non-organic psychosis NOS"	"E1z"	"E1z..00"	"other psychosis"	623	0	20	0	"February 2009"
"91547"	"[X]Atypical schizophrenia"	"Eu203-1"	"Eu20311"	"schizophrenia"	5	0	0	0	"February 2009"
