"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Anticoagulants"
"4292341000033113"	"Heparin calcium 5,000units/0.2ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Heparin"
"4500241000033113"	"Dabigatran etexilate 75mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Dabigatran etexilate"	"75.000mg"	"02080200"	"Dabigatran etexilate"
"4500341000033115"	"Dabigatran etexilate 110mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Dabigatran etexilate"	"110.000mg"	"02080200"	"Dabigatran etexilate"
"4500441000033114"	"Pradaxa 75mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Dabigatran etexilate"	"75.000mg"	NA	"Dabigatran etexilate"
"4500541000033110"	"Pradaxa 110mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Dabigatran etexilate"	"110.000mg"	NA	"Dabigatran etexilate"
"4656341000033115"	"Rivaroxaban 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rivaroxaban"	"10.000mg"	"02080200"	"Rivaroxaban"
"4656441000033114"	"Xarelto 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rivaroxaban"	"10.000mg"	NA	"Rivaroxaban"
"6000541000033119"	"Warfarin 1mg/5ml oral solution"	"Oral solution"	"Oral"	"Warfarin"	"200.000microgram/1.000ml"	"02080200"	"Warfarin"
"6000641000033118"	"Warfarin 3mg/5ml oral solution"	"Oral solution"	"Oral"	"Warfarin"	"600.000microgram/1.000ml"	"02080200"	"Warfarin"
"6000741000033110"	"Warfarin 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Warfarin"	"1.000mg/1.000ml"	"02080200"	"Warfarin"
"6000841000033117"	"Warfarin 1mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Warfarin"	"200.000microgram/1.000ml"	"02080200"	"Warfarin"
"6000941000033113"	"Warfarin 3mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Warfarin"	"600.000microgram/1.000ml"	"02080200"	"Warfarin"
"6066441000033118"	"Warfarin 1mg/ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Warfarin"	"1.000mg/1.000ml"	"02080200"	"Warfarin"
