"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"Antidiabetic"	"group"	"database"
"22636"	"TOLBUTAMIDE 1 GM TAB"	"Tablet"	"Oral"	"Tolbutamide"	NA	"Tolbutamide"	"Sulfonylureas"	"Gold"
"10484"	"Penmix 20/80 Penfill (Novo Nordisk Ltd)"	"Penfill"	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"71477"	"Glimepiride 1mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Glimepiride"	"1mg"	"Glimepiride"	"Sulfonylureas"	"Gold"
"10258"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge"	"Hypodermic Needle"	NA	"Insulin"	"8mm/31gauge"	"Insulin"	"Insulin"	"Gold"
"71247"	"PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Prosum Medical Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"6470"	"Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd)"	"Insulin Pen"	NA	"Insulin"	"3ml/2-42 units"	"Insulin"	"Insulin"	"Gold"
"83847"	"Trulicity 4.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)"	"Solution for injection"	"Subcutaneous"	"Dulaglutide"	"9mg/1ml"	"Dulaglutide"	"GLP-1RAs"	"Gold"
"3550"	"Mixtard 40 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Penfill"	"Subcutaneous Injection"	"Insulin"	"100iu/ml"	"Insulin"	"Insulin"	"Gold"
"14505"	"Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Insulin"	"Insulin"	"Gold"
"84627"	"Metformin 1g modified-release tablets (Accord-UK Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"1gram"	"Metformin"	"Metformin"	"Gold"
"71890"	"Metformin 500mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Metformin"	"100mg/1ml"	"Metformin"	"Metformin"	"Gold"
"57601"	"Daonil 5mg tablets (Dowelhurst Ltd)"	"Oral tablet"	"Oral"	"Glibenclamide"	"5mg"	"Glibenclamide"	"Sulfonylureas"	"Gold"
"13474"	"U100 Insulin syringe Sp.36 [2A] 1ml"	"Insulin Syringe"	NA	"Insulin"	"1ml"	"Insulin"	"Insulin"	"Gold"
"71476"	"Glimepiride 2mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Glimepiride"	"2mg"	"Glimepiride"	"Sulfonylureas"	"Gold"
"69852"	"Microdot Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (Cambridge Sensors Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"58801"	"GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (GlucoRx Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"63679"	"Hypurin soluble 100iu/ml Injection (C P Pharmaceuticals Ltd)"	"Injection"	"Intramuscular"	"Insulin"	"100iu/ml"	"Insulin"	"Insulin"	"Gold"
"5678"	"Nateglinide 120mg tablets"	"Oral tablet"	"Oral"	"Nateglinide"	"120mg"	"Nateglinide"	"Other"	"Gold"
"78946"	"Ertugliflozin 15mg tablets"	"Oral tablet"	"Oral"	"Ertugliflozin"	"15mg"	"Ertugliflozin"	"SGLT-2is"	"Gold"
"83608"	"Metformin 500mg modified-release tablets (Consilient Health Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"500mg"	"Metformin"	"Metformin"	"Gold"
"14646"	"Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with not less than 12mm needle 0.33mm/29gauge"	"Insulin Syringe With 12Mm Needle(29G)"	NA	"Insulin"	"0.3ml"	"Insulin"	"Insulin"	"Gold"
"90536"	"Mounjaro KwikPen 12.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)"	"Solution for injection"	"Subcutaneous"	"Tirzepatide"	"20.833mg/1ml"	"Tirzepatide"	"GLP-1RAs"	"Gold"
"84232"	"Forxiga 10mg tablets (Pharmaram Ltd)"	"Oral tablet"	"Oral"	"Dapagliflozin"	"10mg"	"Dapagliflozin"	"SGLT-2is"	"Gold"
"74824"	"Actrapid 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)"	"Solution for injection"	"Intravenous/Subcutaneous"	"Insulin"	"100unit/1ml"	"Insulin"	"Insulin"	"Gold"
"65083"	"Synjardy 5mg/1000mg tablets (Boehringer Ingelheim Ltd)"	"Oral tablet"	"Oral"	"Empagliflozin/Metformin"	"5mg + 1gram"	"Empagliflozin/Metformin"	"SGLT-2is, Metformin"	"Gold"
"26098"	"Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials (C P Pharmaceuticals Ltd)"	"Solution for injection"	"Intramuscular/Intravenous/Subcutaneous"	"Insulin"	"100unit/1ml"	"Insulin"	"Insulin"	"Gold"
"83875"	"Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Lixisenatide/Insulin"	"100unit/1ml + 33microgram/1ml"	"Lixisenatide/Insulin"	"GLP-1RAs, Insulin"	"Gold"
"27969"	"Glymese 250mg Tablet (DDSA Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Chlorpropamide"	"250mg"	"Chlorpropamide"	"Sulfonylureas"	"Gold"
"72163"	"Pioglitazone 45mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Pioglitazone"	"45mg"	"Pioglitazone"	"Other"	"Gold"
"5022"	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge (Novo Nordisk Ltd)"	"Pen Needle"	NA	"Insulin"	"12mm/28gauge"	"Insulin"	"Insulin"	"Gold"
"15484"	"Insulin isophane bovine 100units/ml suspension for injection 1.5ml cartridges"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Insulin"	"Insulin"	"Gold"
"87325"	"Glucophage SR 1000mg tablets (Pilsco Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"1gram"	"Metformin"	"Metformin"	"Gold"
"64258"	"JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units Blue (Sanofi)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"57387"	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm safety needle 0.33mm/29gauge (Covidien (UK) Commercial Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"65587"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"18590"	"Insulin isophane bovine 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Insulin"	"Insulin"	"Gold"
"38400"	"Glucophage SR 750mg tablets (Merck Serono Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"750mg"	"Metformin"	"Metformin"	"Gold"
"74021"	"Metformin 250mg/5ml oral solution"	"Oral solution"	"Oral"	"Metformin"	"50mg/1ml"	"Metformin"	"Metformin"	"Gold"
"12818"	"Human Mixtard 50 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Insulin"	"Insulin"	"Gold"
