"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"	"period"
"7986311000006116"	73	"^ESCTPA798631"	NA	"partial postnatal care - two visits"	"6611000000108"	"2611000000111"	37	"postnatal"
"7986381000006111"	34	"^ESCTPA798638"	NA	"partial postnatal care - three visits"	"6621000000102"	"2631000000115"	37	"postnatal"
"7986401000006111"	29	"^ESCTPA798640"	NA	"partial postnatal care - four visits"	"6631000000100"	"2651000000110"	37	"postnatal"
"7986441000006113"	85	"^ESCTPA798644"	NA	"partial postnatal care - five visits"	"6641000000109"	"2671000000118"	37	"postnatal"
"7989191000006118"	2	"^ESCTBR798919"	NA	"british association for adoption and fostering b1 obstetric report sent"	"8251000000106"	"1597691000000116"	37	"unspecified"
"7990421000006116"	9	"^ESCTLO799042"	NA	"low back pain in pregnancy"	"9121000119106"	"3005534019"	31	"unspecified"
"7991731000006116"	2840	"^ESCTIV799173"	NA	"ivf - in-vitro fertilisation pregnancy"	"10231000132102"	"3334506016"	16	"unspecified"
"7991741000006114"	1	"^ESCTIN799174"	NA	"in-vitro fertilization pregnancy"	"10231000132102"	"3334507013"	16	"unspecified"
"7991751000006111"	5	"^ESCTIV799175"	NA	"ivf - in-vitro fertilization pregnancy"	"10231000132102"	"3334508015"	16	"unspecified"
"7991761000006113"	3	"^ESCTIN799176"	NA	"in-vitro fertilisation pregnancy"	"10231000132102"	"3334509011"	16	"unspecified"
"7999381000006115"	111	"^ESCTPA799938"	NA	"partial postnatal care"	"14201000000104"	"34161000000118"	31	"postnatal"
"8004341000006112"	5	"^ESCTSI800434"	NA	"single liveborn born in hospital by vaginal delivery"	"17561000119102"	"3318569012"	31	"postnatal"
"8011141000006110"	48	"^ESCTRU801114"	NA	"rupture of uterus during labour"	"23431000119106"	"2995878011"	32	"postnatal"
"8016541000006110"	129	"^ESCTPO801654"	NA	"postpartum pre-existing essential hypertension"	"40511000119107"	"3005787016"	32	"postnatal"
"8016561000006114"	4	"^ESCTPO801656"	NA	"postpartum pregnancy-induced hypertension"	"40521000119100"	"3005717012"	31	"postnatal"
"8016571000006119"	1	"^ESCTGE801657"	NA	"gestational hypertension after childbirth"	"40521000119100"	"3005768010"	31	"postnatal"
"8016601000006114"	264	"^ESCTPO801660"	NA	"postpartum gestational diabetes mellitus"	"40791000119105"	"3005715016"	32	"postnatal"
"8016611000006112"	38	"^ESCTGE801661"	NA	"gestational diabetes, delivered"	"40791000119105"	"3005798015"	32	"unspecified"
"8016621000006116"	444	"^ESCTGE801662"	NA	"gestational diabetes mellitus complicating pregnancy"	"40801000119106"	"3301670017"	32	"unspecified"
"8016631000006118"	18	"^ESCTGE801663"	NA	"gestational dm antepartum"	"40801000119106"	"3289671017"	32	"late pregnancy"
"8022611000006115"	38	"^ESCTAN802261"	NA	"antiphospholipid syndrome in pregnancy"	"72161000119100"	"2990771013"	32	"unspecified"
"8022691000006113"	1	"^ESCTMA802269"	NA	"maternal thalassemia in pregnancy"	"72331000119105"	"3005614012"	31	"unspecified"
"8022781000006116"	1	"^ESCTPO802278"	NA	"postpartum episiotomy pain"	"72771000119107"	"3005751011"	31	"postnatal"
"8031611000006111"	4	"^ESCTEP803161"	NA	"epilepsy in pregnancy"	"100941000119100"	"3004426015"	31	"unspecified"
"8032491000006112"	1	"^ESCTGE803249"	NA	"genital herpes simplex in pregnancy"	"104011000119109"	"3004733016"	31	"unspecified"
"8033291000006116"	2	"^ESCTPR803329"	NA	"pre-existing diabetes mellitus in mother complicating childbirth"	"106281000119103"	"3005790010"	32	"postnatal"
"8034821000006119"	6	"^ESCTBA803482"	NA	"bacterial vaginosis in pregnancy"	"110081000119109"	"2990686011"	31	"unspecified"
"8037671000006112"	45	"^ESCTGR803767"	NA	"group b streptococcus carrier complicating pregnancy"	"120001000119107"	"3301482017"	16	"unspecified"
"8042461000006117"	1	"^ESCTHI804246"	NA	"high risk pregnancy due to recurrent miscarriage"	"134781000119106"	"3289849012"	32	"unspecified"
"8063221000006113"	1934	"^ESCTAN806322"	NA	"antenatal admission"	"203221000000100"	"310401000000110"	31	"early pregnancy"
"8066931000006113"	46277	"^ESCTDI806693"	NA	"discussion about maternal wellbeing - postnatal depression"	"206341000000108"	"317451000000110"	32	"postnatal"
"8072991000006115"	228	"^ESCTCH807299"	NA	"chemotherapy delivery"	"232681000000103"	"374821000000118"	32	"postnatal"
"8108461000006116"	5	"^ESCTPR810846"	NA	"private referral for surgical termination of pregnancy"	"339091000000105"	"630721000000110"	40	"unspecified"
"8108471000006111"	12	"^ESCTPR810847"	NA	"private referral for medical termination of pregnancy"	"339111000000100"	"630761000000119"	40	"unspecified"
"8125051000006113"	382	"^ESCTTO812505"	NA	"total number of registerable births at delivery"	"382341000000101"	"753551000000112"	31	"postnatal"
"8157561000006113"	5	"^ESCTMA815756"	NA	"maternal antenatal administration of corticosteroids for fetal lung maturation"	"434611000124106"	"2967334015"	31	"early pregnancy"
"8175651000006119"	14	"^ESCTBA817565"	NA	"baaf b1 obstetric report"	"461421000000103"	"853911000000119"	31	"unspecified"
"8214351000006116"	2407	"^ESCTIN821435"	NA	"infant feeding antenatal checklist completed"	"710911000000102"	"1553861000000112"	31	"early pregnancy"
"8238681000006119"	199	"^ESCTDO823868"	NA	"downs syndrome antenatal screening information leaflet given"	"766481000000101"	"1707141000000117"	32	"early pregnancy"
"8241711000006112"	3	"^ESCTDI824171"	NA	"discussion about changing insulin requirement in pregnancy"	"774551000000108"	"1730301000000110"	31	"unspecified"
"8244951000006113"	5011	"^ESCTIN824495"	NA	"infant feeding postnatal checklist completed"	"783731000000104"	"1752471000000113"	31	"postnatal"
"8258981000006111"	1	"^ESCTRE825898"	NA	"referral to pregnancy loss counselling service"	"806941000000104"	"1803961000000114"	31	"unspecified"
"8259781000006115"	19	"^ESCTRE825978"	NA	"referral to postnatal support group"	"809731000000101"	"2113161000000119"	31	"postnatal"
"8262291000006110"	2	"^ESCTPR826229"	NA	"pregnancy resulting from assisted conception"	"813541000000100"	"2121191000000116"	31	"unspecified"
"8262851000006117"	3	"^ESCTRE826285"	NA	"referral to postnatal depression group"	"814191000000100"	"2122591000000115"	31	"postnatal"
"8263911000006115"	26	"^ESCTPA826391"	NA	"papp-a mom - pregnancy associated plasma protein a multiple of median"	"816031000000109"	"2126421000000115"	31	"unspecified"
"8263931000006114"	4	"^ESCTPL826393"	NA	"plasma papp-a mom (pregnancy associated plasma protein a multiple of median) measurement"	"816051000000102"	"2126451000000113"	34	"unspecified"
"8263951000006119"	2	"^ESCTSE826395"	NA	"serum papp-a mom (pregnancy associated plasma protein a multiple of median) measurement"	"816061000000104"	"2126481000000119"	31	"unspecified"
"8264221000006117"	30	"^ESCTMA826422"	NA	"management of gestational diabetes mellitus"	"816261000000105"	"2127141000000115"	31	"unspecified"
"8273311000006114"	1	"^ESCTOB827331"	NA	"obstetric mri of pelvis"	"826581000000105"	"2150011000000119"	31	"unspecified"
"8275091000006118"	263	"^ESCTOB827509"	NA	"obstetrics - antenatal"	"828541000000101"	"2154051000000110"	31	"early pregnancy"
"8275101000006112"	407	"^ESCTOB827510"	NA	"obstetrics - postnatal"	"828551000000103"	"2154071000000118"	31	"postnatal"
"8283271000006117"	8	"^ESCTAN828327"	NA	"antenatal physiological assessment of mother"	"841741000000103"	"2183811000000111"	32	"early pregnancy"
"8294311000006118"	17	"^ESCTUL829431"	NA	"ultrasound scan of multiple pregnancy"	"855021000000107"	"2213731000000113"	31	"unspecified"
"8294331000006112"	2	"^ESCTDO829433"	NA	"doppler ultrasound scan of multiple pregnancy"	"855031000000109"	"2213781000000112"	31	"unspecified"
"8295351000006116"	2433	"^ESCTPR829535"	NA	"pregnancy of unknown location"	"858901000000108"	"2222251000000110"	32	"unspecified"
"8308381000006114"	514	"^ESCTPO830838"	NA	"postnatal listening visits offered"	"882371000000109"	"2275611000000118"	31	"postnatal"
"8308811000006110"	1350	"^ESCTPO830881"	NA	"postnatal listening visit"	"883501000000100"	"2278051000000118"	31	"postnatal"
"8314001000006112"	28	"^ESCTDE831400"	NA	"defibulation of vulva to facilitate delivery"	"893721000000103"	"2300601000000112"	32	"postnatal"
"8394691000006114"	84	"^ESCTAN839469"	NA	"antenatal screening"	"1013971000000104"	"2562461000000113"	31	"early pregnancy"
"8413751000006119"	2	"^ESCTMI841375"	NA	"minor pph (postpartum haemorrhage)"	"1033571000000100"	"2610081000000116"	32	"postnatal"
"8413771000006112"	4	"^ESCTMA841377"	NA	"major pph (postpartum haemorrhage)"	"1033591000000101"	"2610091000000119"	32	"postnatal"
