"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antidepressant"
"5128541000033119"	"Escitalopram 20mg/ml oral drops sugar free"	"Oral drops"	"Oral"	"Escitalopram"	"20.000mg/1.000ml"	"04030300"	"Escitalopram"
"5128641000033118"	"Cipralex 20mg/ml oral drops"	"Oral drops"	"Oral"	"Escitalopram"	"20.000mg/1.000ml"	NA	"Escitalopram"
"5234041000033119"	"Foraven XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"5234141000033115"	"Foraven XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"5328741000033117"	"Imipramine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Imipramine"	"5.000mg/1.000ml"	"04030100"	"Imipramine"
"5328941000033119"	"Ranfaxine XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"5329041000033111"	"Ranfaxine XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"5454141000033118"	"Imipramine 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Imipramine"	"5.000mg/1.000ml"	"04030100"	"Imipramine"
"5490141000033118"	"Amitriptyline 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Amitriptyline"	"2.000mg/1.000ml"	"04030100"	"Amitriptyline"
"5574641000033117"	"Tonpular XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"5574741000033114"	"Tonpular XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"5749441000033115"	"Fluoxetine 20mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Fluoxetine"	"4.000mg/1.000ml"	"04030300"	"Fluoxetine"
"5812541000033115"	"Venlablue XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"5812641000033119"	"Venlablue XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"5813141000033117"	"Alventa XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"5813341000033119"	"Alventa XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"5888641000033118"	"Amitriptyline 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amitriptyline"	"2.000mg/1.000ml"	"04030100"	"Amitriptyline"
"5889641000033110"	"Mentaven XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"5891041000033116"	"Dosulepin 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Dosulepin"	"5.000mg/1.000ml"	"04030100"	"Dosulepin"
"5896341000033112"	"Depefex XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
